	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_R_EU_S8_R2_001_val_2	34.7894603912	35.3812861435	35.5849961326	35.5322824857	35.2647521927	35.106818123	35.1239891991	35.2098002137	35.2856904155	35.2514650515	35.3066839782	35.3131280828	35.3651153446	35.3846275025	35.4107142828	35.2581563976	35.2331582435	35.1947383356	35.2172090046	35.1632861882	35.1312163066	35.0903079646	35.0643455518	35.0584552337	34.973095544	34.9151200439	34.8488949487	34.8614424471	34.8429047683	34.7068380773	34.6866634386	34.6433356241	34.7175631922	34.672138932	34.6648610303	34.6358714432	34.5664647937	34.5583267234	34.6301967772	34.6095527196	34.6812767864	34.8280823208	35.9439790782
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_HS_S2_R1_001_val_1	36.2599694507	36.3239138822	36.2232608438	36.4832910767	36.3774660926	36.3445816594	36.3476872663	36.3513013306	36.3837449272	36.3839957621	36.3961184125	36.3569343736	36.3554194123	36.3300069509	36.2750268506	36.231457082	36.2256195827	36.0831869872	36.0674011752	36.0831548794	36.0465662123	36.0174452925	36.0030130625	35.995576231	35.9788221617	35.95128672	35.8805402382	35.820641832	35.8019894756	35.7814864667	35.7358439071	35.70108734	35.6601153834	35.5699513711	35.559589285	35.5436652393	35.4547061139	35.3962687058	35.2729949121	35.3026581971	35.3517493037	35.4074873456	36.310896169
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_HS_S2_R2_001_val_2	34.8018111149	35.389981454	35.5741490495	35.5284472323	35.2657604968	35.1203931091	35.1495108847	35.208716603	35.2855011799	35.2423022002	35.3063014939	35.2971776861	35.3588874412	35.3632847076	35.3858404111	35.2212885402	35.2042117733	35.1631747062	35.1909386547	35.1319546469	35.0945027769	35.0548975449	35.0271592461	35.029445614	34.9415964447	34.8833799711	34.8153316277	34.8249432362	34.8182367074	34.6869155744	34.6614967621	34.6187708986	34.6967965346	34.6495609025	34.645331121	34.6092845	34.5452507351	34.5426258247	34.6104710833	34.5893043774	34.671455616	34.8195823501	35.9557823627
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_P_FM_S23_R1_001_val_1	36.2655291357	36.2801516238	36.2024240944	36.4726745922	36.3620407369	36.3262844376	36.3216588906	36.3257847477	36.358706126	36.3668359704	36.3753332374	36.3379938412	36.3340155456	36.3108606079	36.2513692539	36.2043977275	36.2027717862	36.0543110418	36.0402790753	36.0572202741	36.0255352571	35.99883908	35.9731276712	35.9600686715	35.9433333667	35.913620015	35.8373438862	35.7847106971	35.7702934399	35.7486180493	35.7191310557	35.7112545317	35.6862388536	35.5840808898	35.5689512756	35.5616284331	35.4845651915	35.4215026907	35.2982748956	35.3316859819	35.3847999544	35.4231917165	36.3174784487
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_P_FM_S23_R2_001_val_2	34.7745687711	35.368203075	35.5650522359	35.5253557253	35.2706860489	35.0976749247	35.1253498615	35.1980089782	35.2872353596	35.2418979934	35.3081929555	35.3229896943	35.3693415229	35.3443916974	35.3740487435	35.2179436112	35.189822985	35.1614795086	35.2003710147	35.1358115397	35.1067437262	35.0677632322	35.0464158105	35.0461005195	34.9604110677	34.9025752269	34.8366929377	34.847117858	34.8403457611	34.708503127	34.6875123847	34.6481609929	34.723581425	34.6804349016	34.6724042964	34.6438529787	34.5702297735	34.5662168516	34.6394848853	34.6196042015	34.698459427	34.8482482613	35.9492521056
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_R_RF_S9_R1_001_val_1	36.2600947827	36.2947889644	36.2178689742	36.4754200727	36.3678632209	36.3343187555	36.3229379096	36.328264882	36.3647908166	36.371731208	36.3818118811	36.3514780327	36.346419509	36.324492053	36.2764792884	36.2213773387	36.2212082586	36.0817496841	36.060114482	36.080389847	36.0486295289	36.0197736048	35.9964264709	35.9850455885	35.9692716548	35.9432691554	35.8734938014	35.8207849601	35.8069472088	35.7933078478	35.7510884897	35.732529552	35.698983083	35.6125914455	35.5982703467	35.588396261	35.5188374651	35.4611396742	35.3400588274	35.3749249336	35.424314659	35.474402401	36.329717158
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_R_RF_S9_R2_001_val_2	34.8225501054	35.4226107438	35.6199293386	35.5808035055	35.3021609294	35.1040523376	35.1203921699	35.2057646681	35.2970583234	35.2583183283	35.3259069784	35.3155264871	35.3803938948	35.389728698	35.4166919151	35.2532430686	35.2227877035	35.195507514	35.2184184265	35.1620173215	35.1271088691	35.0867518227	35.0544478412	35.0546127144	34.96313984	34.8947180411	34.8213833612	34.8402514823	34.8235374425	34.6932727011	34.673628428	34.6288181746	34.7058208413	34.6579141708	34.6548734111	34.6268069816	34.5558505992	34.546038458	34.6213887944	34.6050842874	34.6804698241	34.8287080654	35.9458027051
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_HS_S3_R1_001_val_1	36.2528816243	36.3133773302	36.216650829	36.4775628772	36.3689462418	36.3304057728	36.3371208794	36.3393229734	36.3715076609	36.3689845171	36.3856007339	36.3472291472	36.3487481102	36.3178619585	36.2626210631	36.2170034668	36.2148182595	36.0703252976	36.055489274	36.0695620696	36.0336314207	36.0027153504	35.9873354831	35.9777387455	35.964533174	35.9353900707	35.8699556451	35.815223932	35.7981433809	35.7893777765	35.7451788382	35.720125222	35.684555639	35.5912023675	35.5833573842	35.5723170406	35.4895364863	35.4310289206	35.3145450685	35.3437713943	35.3940690109	35.4379602086	36.3177215432
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_HS_S3_R2_001_val_2	34.8141731532	35.4083524161	35.6159106274	35.5556588429	35.2702385406	35.1078017859	35.1403903418	35.2236942759	35.3053429498	35.266968407	35.3403590281	35.3591740271	35.3932692766	35.3883996063	35.4043476293	35.2410719675	35.2311657217	35.1939420282	35.2177977414	35.1680735885	35.1315514831	35.0893229978	35.062405673	35.0582194649	34.9642915183	34.9010056958	34.8293757334	34.839753051	34.8289993055	34.7023697694	34.6842083854	34.6481358419	34.7282101291	34.6851407498	34.6800104749	34.6453828508	34.5826721662	34.5763248203	34.6481884874	34.6275668691	34.7088917028	34.8555525114	35.9555804807
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_P_SG_S24_R1_001_val_1	36.2606759238	36.294172398	36.2160775924	36.4754697677	36.3718587656	36.3340128837	36.3183693194	36.3157394764	36.3614061161	36.3663147281	36.3771024345	36.3413685381	36.3365119586	36.3145152568	36.2585726775	36.2048225967	36.2065168642	36.0641272266	36.0452168359	36.0648878938	36.0339067267	36.0053890437	35.987983619	35.9783748381	35.960869657	35.9345067607	35.8640226323	35.8090244415	35.787209086	35.7866831931	35.7425283901	35.7139275683	35.6784023186	35.58064471	35.5722981943	35.5612012156	35.488379761	35.4264801352	35.3153671755	35.3462632579	35.3915749575	35.4543692687	36.3275065819
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_P_SG_S24_R2_001_val_2	34.8725662451	35.4350426529	35.6255437516	35.583944962	35.3225656328	35.1296839816	35.1511215724	35.226481911	35.3142439193	35.2696873303	35.3260476454	35.3248907305	35.3933599827	35.4065618125	35.4279788872	35.2642234479	35.2401800829	35.2193527108	35.2369840973	35.1837789217	35.1529416692	35.1169326033	35.0888827641	35.0877591461	34.9995812047	34.9411676864	34.8783815589	34.894330983	34.8894310291	34.7654534715	34.7463344452	34.7084197207	34.775251759	34.7345444868	34.7349870299	34.7089970941	34.6410541529	34.6286684191	34.6999891011	34.6843126182	34.7584951437	34.8952589039	35.9542137961
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_R_MM_S10_R1_001_val_1	36.2682308321	36.3132389174	36.2296497435	36.4867726141	36.3771282143	36.3449279634	36.3428685224	36.3433012336	36.3778146171	36.3824463655	36.393646512	36.3558673068	36.3532449523	36.3316079937	36.2828444271	36.232503115	36.2285345338	36.088677755	36.0658051405	36.0842530064	36.047700539	36.0185480759	36.0010092531	35.9934389644	35.9760302383	35.9531574938	35.884523211	35.8359951089	35.8138987048	35.808913442	35.7677003748	35.7393195157	35.7045889397	35.6182393007	35.604479816	35.5904979319	35.5129996142	35.455706172	35.3428799572	35.3780783553	35.4269174789	35.4736008695	36.3291989115
