Sample	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_gc	Bismark_mqc-generalstats-percent_aligned	Bismark_mqc-generalstats-percent_chh_meth	Bismark_mqc-generalstats-percent_cpg_meth	FastQC_mqc-generalstats-total_sequences	Bismark_mqc-generalstats-aligned_reads	FastQC_mqc-generalstats-avg_sequence_length	Bismark_mqc-generalstats-percent_chg_meth	Bismark_mqc-generalstats-total_c	FastQC_mqc-generalstats-percent_duplicates
14_P_SG_S24_R2_001_val_2		9.09090909091	33.0				21476947.0		74.0379228016			25.7425087513
14_R_MM_S10_R1_001	9.30137637444											
14_R_MM_S10_R1_001_val_1		9.09090909091	35.0	39.4898918837	0.5	59.0	30091660.0	11883164.0	67.620453973	0.6	412102811.0	35.0905114279
14_R_MM_S10_R2_001	0.682218122574											
14_R_MM_S10_R2_001_val_2		9.09090909091	33.0				30091660.0		74.01760747			28.9582971861
15_HS_S4_R1_001	8.24106107366											
15_HS_S4_R1_001_val_1		9.09090909091	35.0	41.3332027474	0.5	59.1	13784025.0	5697379.0	68.38534608	0.6	196972769.0	27.2712861327
15_HS_S4_R2_001	0.672832654503											
15_HS_S4_R2_001_val_2		9.09090909091	33.0				13784025.0		74.0338961951			22.375126786
15_P_SMR_S25_R1_001	8.57234695948											
15_P_SMR_S25_R1_001_val_1		9.09090909091	35.0	41.0015979162	0.5	59.2	25640269.0	10512920.0	68.1657828941	0.6	364554668.0	33.7797417347
15_P_SMR_S25_R2_001	0.673829416372											
15_P_SMR_S25_R2_001_val_2		9.09090909091	33.0				25640269.0		74.0058986901			27.8096472019
15_R_RN_S11_R1_001	8.70264332217											
15_R_RN_S11_R1_001_val_1		9.09090909091	35.0	44.5565477228	0.5	59.2	22691179.0	10110406.0	68.1469283725	0.6	351820391.0	36.76641671
15_R_RN_S11_R2_001	0.672179149358											
15_R_RN_S11_R2_001_val_2		9.09090909091	33.0				22691179.0		73.9217463315			30.1399614698
16_HS_S5_R1_001	8.19820434209											
16_HS_S5_R1_001_val_1		9.09090909091	35.0	42.4879710927	0.5	57.9	14290367.0	6071687.0	68.3911469873	0.6	209958351.0	27.9913338677
16_HS_S5_R2_001	0.670500239216											
16_HS_S5_R2_001_val_2		9.09090909091	33.0				14290367.0		73.9928807987			23.1823979166
16_P_CV_S26_R1_001	7.30251147842											
16_P_CV_S26_R1_001_val_1		9.09090909091	35.0	45.009391424	0.5	58.7	14778909.0	6651897.0	69.2501014791	0.6	231645211.0	29.265219252
16_P_CV_S26_R2_001	0.661019058149											
16_P_CV_S26_R2_001_val_2		9.09090909091	32.0				14778909.0		73.9961135156			24.4573039329
16_R_TG_S12_R1_001	8.65512704262											
16_R_TG_S12_R1_001_val_1		9.09090909091	35.0	40.6924530957	0.5	58.6	22849952.0	9298206.0	68.0556342525	0.6	321996380.0	32.5634342652
16_R_TG_S12_R2_001	0.676910751376											
16_R_TG_S12_R2_001_val_2		9.09090909091	33.0				22849952.0		74.0240839893			26.6064296295
17_HS_S6_R1_001	9.72847235818											
17_HS_S6_R1_001_val_1		9.09090909091	35.0	40.5984905187	0.5	58.9	25775212.0	10464347.0	67.3534428349	0.6	362784140.0	34.4847433753
17_HS_S6_R2_001	0.683707047603											
17_HS_S6_R2_001_val_2		9.09090909091	33.0				25775212.0		73.9891633093			28.3548731148
17_P_FA_S27_R1_001	9.11605664687											
